employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
100,Steven,King,SKING,515.123.4567,17-JUN-1987,AD_PRES,24000,,,90.0
101,Neena,Kochhar,NKOCHHAR,515.123.4568,21-SEP-1989,AD_VP,17000,,100.0,90.0
102,Lex,De Haan,LDEHAAN,515.123.4569,13-JAN-1993,AD_VP,17000,,100.0,90.0
103,Alexander,Hunold,AHUNOLD,590.423.4567,03-JAN-1990,IT_PROG,9000,,102.0,60.0
104,Bruce,Ernst,BERNST,590.423.4568,21-MAY-1991,IT_PROG,6000,,103.0,60.0
105,David,Austin,DAUSTIN,590.423.4569,25-JUN-1997,IT_PROG,4800,,103.0,60.0
106,Valli,Pataballa,VPATABAL,590.423.4560,05-FEB-1998,IT_PROG,4800,,103.0,60.0
107,Diana,Lorentz,DLORENTZ,590.423.5567,07-FEB-1999,IT_PROG,4200,,103.0,60.0
108,Nancy,Greenberg,NGREENBE,515.124.4569,17-AUG-1994,FI_MGR,12000,,101.0,100.0
109,Daniel,Faviet,DFAVIET,515.124.4169,16-AUG-1994,FI_ACCOUNT,9000,,108.0,100.0
110,John,Chen,JCHEN,515.124.4269,28-SEP-1997,FI_ACCOUNT,8200,,108.0,100.0
111,Ismael,Sciarra,ISCIARRA,515.124.4369,30-SEP-1997,FI_ACCOUNT,7700,,108.0,100.0
112,Jose,Urman,JMURMAN,515.124.4469,07-MAR-1998,FI_ACCOUNT,7800,,108.0,100.0
113,Luis,Popp,LPOPP,515.124.4567,07-DEC-1999,FI_ACCOUNT,6900,,108.0,100.0
114,Den,Raphaely,DRAPHEAL,515.127.4561,07-DEC-1994,PU_MAN,11000,,100.0,30.0
115,Alexander,Khoo,AKHOO,515.127.4562,18-MAY-1995,PU_CLERK,3100,,114.0,30.0
116,Shelli,Baida,SBAIDA,515.127.4563,24-DEC-1997,PU_CLERK,2900,,114.0,30.0
117,Sigal,Tobias,STOBIAS,515.127.4564,24-JUL-1997,PU_CLERK,2800,,114.0,30.0
118,Guy,Himuro,GHIMURO,515.127.4565,15-NOV-1998,PU_CLERK,2600,,114.0,30.0
